"Category","Name","Description","Value ","Default Value"
Without category,enable_3dmodelspace_browser_tab,Yes - Display 3D ModelSpace tab in the browser when Creo Parametric starts.  No - Display 3D ModelSpace tab only when you click a 3D ModelSpace link in the navigator.,"yes, no",yes
Environment,enable_absolute_accuracy,Controls display of the ACCURACY menu. Yes - ACCURACY menu always appears when you choose Accuracy from the PART SETUP menu. No - The menu appears only if the part is currently defined with absolute accuracy.,"yes, no",no
Data Exchange,enable_acis_export_extension,Enable ACIS export extension.,"yes, no",no
Assembly,enable_advance_collision,Enables advance collision settings usage.,"yes, no",no
Assembly,enable_assembly_accuracy,No - Disables accuracy modification for assembly objects.,"yes, no",yes
Features,enable_auto_regen,Enable Auto Regeneration for Unified Edit Mode.,"yes, no",yes
Electromechanical,enable_cable_channel,Activates channel functionality,"yes, no",no
Data Exchange,enable_cadra_export,Enables the CADRA command in the EXPORT menu. This enables the creation of a CADRA specific IGES file.,"yes, no",no
Without category,enable_face_preselection,"Controls the ability to ""pre-select"" faces/datums as an entry to Sketch based features such as Extrude, Revolve (input to the internal sketch).","yes, no",yes
Manufacturing,enable_face_thread_turning,Allows/disallows face option for thread turning sequence.,"yes, no",no
Sheetmetal,enable_flat_state,Enables the creation of a flat state instance of the model. The instance can be fully flat or fully formed.,"yes, no",no
Without category,enable_fsaa,Enable OpenGL full screen anti-aliasing.,"off, 2, 4, 8, 16",off
Model Display,enable_hlr_hashing,Enables hlr hashing,"yes, no",no
Assembly,enable_implied_joints,Allow underconstrained components as mechanism connections.,"yes, no",yes
Education & Social Tools,enable_learning_connector,"Enable the Learning Connector, which provides context specific access to videos, training, help topics, and technical support content.  When enabled, the Learning Connector is added to the ribbon bar next to Help.","yes, no",yes
Without category,enable_obsoleted_features,,"yes, no",no
Without category,enable_offset_fan_curve,Enables fan curve option for offset tool.,"yes, no",no
Without category,enable_opengl_shader,Enable OpenGL Phong lighting.,"yes, no",yes
Manufacturing,enable_param_n_tool_upd_dialog,"Enables UI for modification of manufacturing parameters and tools during ""paste special"" and UDF placement procedures.","yes, no",yes
User Interface,enable_popup_help,Controls pop-up help in dialog boxes. Yes - Help enabled. No - Help disabled.,"yes, no",yes
Application Programming Interfaces,enable_protk_xml_schema,Enables XML-Schema validation for Pro/TK feature XMLs,"yes, no",no
Features,enable_remove_notifications,"Presents a notification dialog when the result of a Remove feature creates  a surface with a flipped normal, an intersection with non-adjacent geometry  or geom check errors.  Setting this option to no will not issue the notification.","yes, no",yes
Drawing,enable_shaded_view_in_drawings,Yes - shading display is allowed in drawing views. No - shading display will be shown in wireframe.,"yes, no",yes
Education & Social Tools,enable_sociallink,"Allow Windchill SocialLink to connect with Creo Parametric. When enabled SocialLink commands will be added to the Application Menu and the Ribbon bar. Enter ""Yes"" to enable SocialLink, and ""No"" to disable it","yes, no",no
Features,enable_tapered_extrude,Enables you to add a taper to an extrude feature by displaying the Add taper check box and the taper degree value box on the Extrude tab Options tab. yes - The Add taper check box is displayed. no - The Add taper check box is not displayed.,"yes, no",yes
Model Display,enable_transparent_text_bg,Yes - Clear background before displaying text. No - Do not clear text background.,"yes, no",yes
System,enable_tree_indep,Setup whether tree customization will allow separating the tree window from Creo Parametric window.,"yes, no",no
Assembly,erv_show_external_only,Yes - Global Reference Viewer will show objects with external references only;  No - all the objects will be visible,"yes, no",no
Without category,esr_mass_properties,Defines whether to include all immediate components of external simplified rep  into Mass Properties calculations or only defined state of design assembly.,"design_only, extended",design_only
File Storage & Retrieval,excel_analysis_directory,Sets the default directory for the MS Excel files to be used for Excel analysis calculations. Use the full pathname to avoid problems.,,
File Storage & Retrieval,excel_family_table_keep_file,"Yes - in case of editing family table with excel, if saved excel file exist , will always update it.","yes, no",no
File Storage & Retrieval,exec_prog_on_assem_retr,Execute pro/program for models during assembly retrieval.,"yes, no",no
Without category,expand_all_with_nested_layers,Yes - expand all including nested sub layers.,"yes, no",yes
Model Display,explode_animation_max_time,Sets the maximum amount of time for an animation between explode states.,,1
Data Exchange,explode_iges_dimension_note,Controls how dimensions are treated when importing an IGES drawing file. Yes - Each IGES dimension explodes into an independent note with the dimension text and a dimension with an empty note. No - Dimensions are treated as before.,"yes, no",no
Data Exchange,export_3d_force_default_naming,Specify whether the Creo Parametric model names should be used for STEP export. Yes - Use default naming. No - Add suffixes to model file names.,"yes, no",no
System,export_report_format,"Controls the format of the exported reports displayed in the embedded browser. Rich Text - Exports the report in Rich Text format, Comma Delimited - Exports the report in Comma Delimited format.","comma_delimited, rich_text",comma_delimited
Data Exchange,export_to_shipit,Enable Ship-it interface export.,"yes, no",no
Data Exchange,extend_cvpath,Extends CVPATH search path for CADDS5 data exchanging.,,
File Storage & Retrieval,external_analysis_directory,Sets the default directory for the files to be used by External Analysis calculations.  Use the full pathname to avoid problems.,,
Assembly,fail_ref_copy_when_missing_orig,"Yes - When using a copied geom feature or a backed-up external reference with the Design Manager, and the reference is missing in the original, then the copied geom feature fails. No - The feature freezes and does not update.","yes, no",yes
Features,fail_unattached_feature,"Handles unattached protrusion and cuts, when retrieving pre-Release 15 models. Yes - When a part is retrieved, the system fails an unattached protrusion or cut. No - When a part is retrieved, the system does not fail an unattached protrusion or cut.","yes, no",no
Electromechanical,fan_significant_locations_only,Setup whether only significant locations should be flattened on flattening a harness.,"yes, no",yes
Electromechanical,fan_with_network,Setup whether the network should be included on flattening a harness.,"yes, no",yes
Model Display,fast_highlight,Yes - Use simplified highlighting which redisplays more quickly at the expense of certain details.  This option may increase memory usage slightly.,"yes, no",yes
Model Display,fasthlr,Specifies whether fast hidden line removal is on/off by default.,"yes, no",no
Without category,fasthlr_drawing,Specifies whether fast hidden line removal is on/off by default.,"yes, no",no
Features,feature_create_auto_begin,"In feature creation, determines whether or not the Define button is automatically activated when you open the dialog box. Yes - Button is activated automatically. No - You select the button.","yes, no",no
Features,feature_create_auto_ok,"In feature creation, determines whether or not the system activates the dialog box OK button automatically when the last required element is defined. Yes - Button is activated automatically. No - You select the button.","yes, no",no
Features,feature_type_default,"It sets the solid or surface default type for feature creation. The Advanced option sets the default type for Extrude and Revolve to solid, and all others to Surface.","solid, advanced, surface",solid
Creo Simulate,fem_allow_named_mesh_files,"Yes - The user will be prompted to select a file to retrieve the mesh from, or enter a file name to save the mesh to. No - The user will not be prompted to select or enter a mesh file name.","yes, no",no
Creo Simulate,fem_ansys_annotations,Toggles transfer of loadcase names to ANSYS.,"yes, no",no
Creo Simulate,fem_ansys_grouping,Toggles transfer of groups/layers to ANSYS.,"yes, no",no
Creo Simulate,fem_asp_ratio,The value that FEM created elements of aspect ratio are compared against.,,7
Creo Simulate,fem_default_solver,Specifies default solver.,"ansys, nastran, nei_nastran",
Creo Simulate,fem_dist_index,The value that FEM created elements of distortion indices are compared against.,,0.4
Creo Simulate,fem_edge_angle,Sets the minimum acceptable default angle between adjacent element edges. Enter value between 0 and 90.,,30
Creo Simulate,fem_hierarchical_mesh,"Yes - Store and retrieve automatically the FEM mesh in the mesh file upon its creation and on entering Creo Simulate, respectively. This option triggers Hierarchical Mesh mode. No (default) - Do not store or retrieve the FEM Mesh automatically.","yes, no",no
Creo Simulate,fem_inertia_relief,"Enables inertia relief in FEM mode. Creo Simulate will output PARAM,INREL,-2 to a Nastran deck file or XYZ to ANSYS PREP7 file. The default value is NO.","yes, no",no
Creo Simulate,fem_keep_solver_files,Yes - All Solver files will be retained after running the analysis. No - All Solver files will be deleted after running the analysis.,"yes, no",no
Creo Simulate,fem_mesh_auto_retrieve,Yes - The FEM mesh will automatically be retrieved from the current working directory on entering Creo Simulate. No - The mesh will not be retrieved automatically. The default is NO.,"yes, no",no
Creo Simulate,fem_mesh_auto_save,Yes - The FEM mesh will be saved in the current working directory after it is created. No - The mesh will not be saved automatically after it is created. The default value is No.,"yes, no",no
Creo Simulate,fem_mesh_operations,"Yes - The menu item Operations appears in the FEM MESH menu, providing access to functionalities to manipulate the finite element mesh. No - the menu FEM MESH will not have the item Operations.","yes, no",no
Creo Simulate,fem_mid_ratio,The value that FEM created elements of mid ratios are compared against.,,0.1
Creo Simulate,fem_neutral_version,Specifies version number of neutral file.,,3
Creo Simulate,fem_output_rigid_link_as_rbar,Yes - Generate individual element for each pair of independent node and dependent node. Nastran output creates multiple RBAR cards. No - Generate a single element between the independent node and all dependent nodes. Nastran output creates a single RBE2 card.,"yes, no",no
Creo Simulate,fem_preserve_mesh,Yes - Issue a warning whenever the current operation invalidates the existing FEM mesh. No (default) - Erase the mesh without notification when it becomes incompatible with the model.,"yes, no",no
Creo Simulate,fem_shell_elem_type,Sets the default shell element type in FEM mode.,"tri, quad",quad
Creo Simulate,fem_skew_angle,"Sets the maximum acceptable default skew angle value, measured in degrees. Enter a value between 0 and 90.",,45
Creo Simulate,fem_solver_time_limit,Interrupt the Nastran solver after the specified time limit in minutes using the TIME executive card. A negative number directs the solver to use its own default. The default value of this option is -1.,,-1
Creo Simulate,fem_taper,Sets the minimum acceptable default taper value. Enter a value between 0 and 1.,,0.5
Creo Simulate,fem_warp_angle,"Sets the maximum acceptable default warp angle value, measured in degrees. Enter a value between 0 and 90.",,10
Creo Simulate,fem_which_ansys_solver,"Specifies the ANSYS equation solver type to be used. Supported solver types: FRONTAL, ITERATIVE (JCG), POWERSOLVER (PCG), ICCG, AUTO, and SPARSE.","frontal, iterative, powersolver, auto, iccg, sparse",
Creo Simulate,fem_y_dir_compress,Specifies the Y-direction based on compressed and uncompressed geometry. The default value is uncompressed.,"yes, no",no
Without category,file_dialog_units_class,Sets the units for manikin attributes displayed in the File Open dialog.,"mks, ips",mks
File Storage & Retrieval,file_open_default_folder,Sets default dir for File>Open. Working_directory - Search working directory. In_session - Search objects in  session. Pro_library - Use only if Pro/LIBRARY is installed. Workspace - Use only with Pro/INTRALINK.  Commonspace - Use only with Pro/INTRALINK.,"default, working_directory, in_session, pro_library, my_documents, desktop",
File Storage & Retrieval,file_open_default_view,Specify the initial Views setting as List or Details in the File dialog boxes.,"list, details",list
File Storage & Retrieval,file_open_preview_default,Controls whether the preview area is expanded by default when the file open dialog or local file browser is displayed.,"expanded, collapsed",collapsed
File Storage & Retrieval,file_open_preview_delay,"The delay before a file selection is previewed, in tenths of a second.",,
Without category,file_timestamp_format,"Controls the format of time stamps in file dialogs and the folder browser. The format for the setting is a string consisting of up to seven portions: the year, the month, and the date, the hours, minutes, seconds and am/pm designator. You can enter the portions in any order.",,%dd-%mmm-%yy %hh:%mi:%ss %pm
Data Exchange,fix_autocad_iges_text_scale,Fixes scaling problems with AutoCAD releases earlier than Release 10. Yes - Repairs AutoCAD files appropriately.,"yes, no",no
Data Exchange,fix_catia_iges_sym_note,Corrects a problem caused by multiple rotations of a note in a CATIA IGES file. Yes - Rectifies any discrepancies.,"yes, no",no
Data Exchange,fix_imported_set_view_orient,Sets viewing characteristics for imported CATIA SET files. Yes - Files can have translated views. No - Files cannot have translated views.,"yes, no",no
Assembly,fix_refs_to_intersections,Sets remnant removal ability for the ReIntersect command in the ASSY FEAT menu. Yes - You can remove remnants. No - You cannot remove remnants.,"yes, no",no
Sheetmetal,flange_shape_sketches_directory,Sets path to directory that contains the Flange shapes.,,
Sheetmetal,flat_shape_sketches_directory,Sets path to directory that contains the Flat shapes.,,
Without category,flex_dflt_selection_srf_region,In Flexible Modeling mode sets the default selection filter option to surface regions.,"yes, no",no
Environment,flip_arrow_scale,Sets a scale factor for enlarging the size of the flip arrow that appears for feature creation direction (default = 1).,,1
Layers,floating_layer_tree,Set to yes if user wants to see a layer tree dialog separated from navigator.,"yes, no",no
User Interface,fonts_size,Determines the relative size of the text in menus and dialog boxes. You must restart Creo Parametric for the change to take effect.,"medium, small, large",
Features,foot_grid_interval,Modify grid space in foot units for handle movement.,,0.083333
File Storage & Retrieval,force_new_file_options_dialog,Force the use of the New File Options dialog.,"yes, no",no
Assembly,force_upd_assem_mp_in_simp_rep,Update mass properties parameters even when some of the components of the assembly are not in master rep.,"yes, no, use_stored",use_stored
Drawing,force_wireframe_in_drawings,"Yes - Displays all views of drawings in wireframe. No - Displays views according to the display set for the session (wireframe, hidden, and so on).","yes, no",no
Drawing,format_setup_file,"Assigns a specified setup file to each drawing format. To assign the drawing's parameter values to the format, you must retrieve the drawing's setup file into the format.",,dwgform.dtl
Model Display,frames_per_sec,Determines whether view is animated.,"yes, no",no
Model Display,frames_per_sec_value,"Used to set the smoothness of view animation changes. Higher numbers provide more frames/sec, and giving you a smoother animation. Lower numbers cause the view to change more quickly.",,3
Assembly,freeze_failed_assy_comp,No - Requires an action to fix the assembly or freeze the component that fails retrieval. Yes - Freezes any component failing retrieval at its last known assembly location.,"yes, no",no
Electromechanical,freeze_failed_cable_locations,Suspends the cable location at its last known assembly location.,"yes, no",no
Data Exchange,frt_enabled,Loads feature recognition application.,"yes, no",no
Electromechanical,full_hlr_for_cables,Full - Removes hidden lines from view when cables hide other geometry (use when Hidden Line active). Partial - Cables hide other non-interfering cables except when cables route together between same locations. None - Display hidden lines (faster).,"none, full, partial",full
System,general_undo_stack_limit,Setup the default number of entries in the top level Undo/Redo (default = 50).,,50
File Storage & Retrieval,generate_viewable_on_save,Controls whether updated Creo View .edz files are automatically exported every time a model is saved.,"yes, no",no
File Storage & Retrieval,geometry_analysis_color_scheme,Specifies the location of the geometry analysis color scheme file.,,
Printing & Plotting,gerber_360_interpolation,Yes - Arcs and circles included in outputted Gerber plot files will take this format.,"yes, no",no
Colors,global_appearance_file,Material Global Appearance file path.,,
Manufacturing,gpostpp_dir,Specifies the directory containing the post processor files to be used by Pro/NCPOST (GPOST).,,
Sketcher,grid_snap,Yes - Makes pick points snap to a grid. No - Turns the grid snap off so that any location can be picked.,"yes, no",no
Without category,group_repl_with_recycle,Yes - enables new UDF replacement with family table instances that prevents children failures. No - UDF replacement will work in the same manner as Wildfire 3.0 and earlier releases.,"yes, no",yes
Without category,group_replace_rename,Yes - updates replaced group name with replacement group name. No - preserves existing name of the group being replaced if it is a user-given name.,"yes, no",yes
Assembly,grv_default_view,Sets the default view the reference view starts with - Dependencies or References.,"references, dependencies",references
Dimensions & Tolerances,gtol_dim_placement,Controls display of geometric tolerances in Part. Use like drawing set-up option of the same name. On_bottom - Gtols display at bottom (below additional lines of text). Under_value - Gtols display under dimension value (above additional lines of text).,"on_bottom, under_value",on_bottom
Electromechanical,harn_mfg_branch_angle,Sets the default value for the branch location angle for the harness manufacturing. Enter a value between 10 and 130.,,80
Electromechanical,harn_start_model_dir,Provides the complete path to the directory containing harness start parts and assemblies,,
Electromechanical,harn_tang_line_display,Display the tangency lines between cable segments in thick cable display mode.,"yes, no",yes
Without category,hdic_export_v5_secondary_cgr,In HDIC export for CATIA V5 allows to attach CGR as a secondary content,"yes, no",no
Without category,hdic_export_v5_to_ws_enable,Enables HDIC export for CATIA V5 to Workspace.,"yes, no",no
User Interface,help_translation,Specifies the language in which the short help messages display when running non-English versions of Creo Parametric. Yes - Display in native language. No - Display in English.,"yes, no",yes
Drawing,highlight_erased_dwg_views,Controls the display of erased view outlines (environment option Highlight Erased Views). Yes - Highlights erased views. No - Turns off highlighting for erased views.,"yes, no",yes
Environment,highlight_geometry,Yes - Items selected in the model tree are highlighted in the geometry area.,"yes, no",yes
Layers,highlight_layer_items,Yes - Items selected in the layer tree are highlighted in the geometry area.,"yes, no",yes
Drawing,highlight_new_dims,"In drawing mode, highlights new dimensions in red until you repaint the screen.","yes, no",no
Drawing,hlr_for_quilts,"In Drawing, controls quilt display in hidden line removal. Yes - Includes quilts in the hidden line removal process (preselects Qlt HLR in the VIEW DISP menu). Default in the VIEW DISP menu, uses the value you have set.","yes, no",no
Electromechanical,hlr_for_xhatches,Controls whether HLR to be enabled for crosshatches in drawing mode.,"yes, no",no
Features,hole_diameter_override,No- Uses hole-table-driven standard hole diameter value. Yes - Allows specifying the drilled hole value instead of the standard value.,"yes, no",no
Features,hole_file_resolution,Specify Hole tool to use external hole parameter (.hol) files.,"replace_with_external, use_internal",replace_with_external
Features,hole_parameter_file_path,Specifies the directory path for a standard screw-size parameters (.hol) file to be loaded from disk. Use the full path name to avoid problems.,,
User Interface,iconify_entire_pro,Determines how many other Creo Parametric windows/menus are iconified when one window is iconified. Yes - All the windows and menus are iconified. No - Only the selected window is iconified.,"yes, no",yes
Without category,idd_repair_tangency,"Sets the default state of the ""Repair Tangency"" checkbox in the Repair and Match tools","yes, no",no
Data Exchange,iges_clip_view_ent,Determines whether IGES entities are clipped with regards to IGES views. YES - Entities outside the view outline are clipped. NO - No clipping.,"yes, no",yes
Data Exchange,iges_clip_view_note,Determines how IGES notes are clipped with regards to IGES views. No_clip - No clipping. Full_clip - Notes that are partially outside the view outline are clipped. Partial_clip - Notes completely outside the view outline are clipped.,"no_clip, full_clip, partial_clip",no_clip
Data Exchange,iges_export_dwg_views,Yes - Exports drawing view information. No - Does not export drawing view information.,"yes, no",no
Data Exchange,iges_in_dwg_color,Yes - Import RGB information to IGES files. The color definition entities in the IGES file are imported to the drawings as user-defined colors. No - The color-definition entities in the IGES files are ignored when importing to the drawing.,"yes, no",no
Data Exchange,iges_in_dwg_line_font,"Controls the import of user-defined line fonts. Yes - Give default names to user-defined line styles without names in order (""IGES_1,"" ""IGES_2"" etc.). No - Imports the user-defined line fonts as Solid line font.","yes, no",no
Data Exchange,iges_in_group_to_dwg_layer,Yes - Converts an IGES group to drawing layers. No - The IGES group is not converted.,"yes, no",no
Data Exchange,iges_note_disp,Determines what to do when IGES note entities do not point to any views or the drawing entity. See the configuration option iges_zero_view_disp.,"as_geometry, all_views, no_views, as_is",all_views
Data Exchange,iges_out_all_srfs_as,Default - Outputs all surfaces as appropriate IGES surfaces. 114 - This option applies only to representations of surface shape. Trimmed surface entities (type 144) are exported regardless of setting. 128 - Outputs all surfaces as IGES B-spline surfaces.,"128, 114, default",default
Data Exchange,iges_out_assembly_default_mode,Set default for assembly export via IGES. Flat - Single level model. One_level - Assy structure with pointers to components. All_levels - Assy structure with all comps to IGES files. All_parts - Assy to IGES files with geom  info of comps and assy feats.,"flat, one_level, all_levels, all_parts",flat
Data Exchange,iges_out_catia_gdt_width,Yes - Enables the desired width of a gtol symbol to be exported to CATIA.,"yes, no",no
Data Exchange,iges_out_catia_notes,"Yes - Breaks a large note (greater than 70 strings) down into smaller notes, each producing an IGES entity.","yes, no",no
Data Exchange,iges_out_dwg_color,Yes - Enables the export of RGB information to IGES files. The user-defined colors in the drawing are exported to an IGES file as color definition entities. No - Ignores the user-defined colors in the drawing when exporting IGES file.,"yes, no",no
Data Exchange,iges_out_dwg_line_font,Controls the export of user-defined line font through IGES. No - Exports all geometry as solid font.,"yes, no",no
Data Exchange,iges_out_ent_as_bspline,"True - Exports all geometry entities, other than lines or arcs, as third-degree B-splines. False - Does not export entities as third-degree B-splines.","true, false",FALSE
Data Exchange,iges_out_jamais_compliant,"Yes - Specifies IGES output with special JAMA-IS subset specification, compliant with the version 1.02 of JAMA-IS (Japan Automobile Manufacturers Association IGES Subset Specification). No - Specifies normal IGES.","yes, no",no
Data Exchange,iges_out_mil_d_28000,Yes - Specifies IGES output that uses the MIL-D-28000 entity subset.,"yes, no",no
Data Exchange,iges_out_spl_crvs_as_126,Converts all part geometry spline curves to IGES entity 126 (B-spline) when creating an IGES file.,"yes, no",yes
Data Exchange,iges_out_spl_srfs_as_128,Converts all part geometry spline surfaces to IGES entity 128 (B-spline) when creating an IGES file.,"yes, no",yes
Data Exchange,iges_out_start_note,"Yes - Exports the text specified by system_iges_header_file and user_iges_header_file as a note on the drawing. To control note placement, use the configuration file option put_iges_drawing_entity.","yes, no",no
Data Exchange,iges_out_symbol_entity,"Exports a drawing symbol as an IGES general symbol entity, IGES type number 228 (yes), or as its component entities: notes and lines.","yes, no",yes
Data Exchange,iges_out_trim_curve_deviation,Sets the maximum value for the distance between an XYZ trimming curve (boundary) and the underlying surface of a trimmed surface,,-1
Data Exchange,iges_out_trim_xyz,Controls whether or not XYZ data is output in addition to UV data for trimmed surfaces.,"yes, no",yes
Data Exchange,iges_out_trm_srfs_as_143,Yes - Exports all surfaces to IGES entities 141 and 143. This overrides option iges_out_trm_xyz.,"yes, no",no
Data Exchange,iges_zero_view_disp,"When IGES geometry does not point to any views or the drawing entity. All_views - Creates a copy of the entity for each view. No_views - Does not create the entity at all. As_is - Creates the entity once, using only its own transformation information.","all_views, no_views, as_is",all_views
Reference Control,ignore_all_ref_scope_settings,Controls whether object-specific reference scope settings are ignored or not. Environment scope settings will still be enforced. See also allow_ref_scope_change and default_ext_ref_scope,"yes, no",no
Without category,ignore_bundles_in_find_cables,Include bundles and overbraids in the query results when the model or logical data is queried for unrouted items.,"yes, no",no
Reference Control,ignore_export_geom_declaration,Ignore Export Geometry settings.,"yes, no",no
Assembly,ignore_non_displayed_items,Ignores nondisplayed items when searching the component interface during component placement.,"yes, no",no
Manufacturing,ignore_templ_pos_for_new_tool,Ignore pocket number from template for tools added to a workcell. Use first available pocket.,"yes, no",no
Features,inch_grid_interval,Modify grid space in inch units for handle movement.,,0.03125
Without category,include_all_tools_in_list,Show/hide inapplicable cutting tools in mfg sequence UI.,"yes, no",no
Assembly,include_sub_model_interfaces,Includes sub model interfaces as possible references for interface to interface component placement.,"yes, no",yes
Environment,info_output_format,Setup the default format type for information presentation. Text - information will be output as simple text. HTML - information will be output as html data.,"text, html",html
Environment,info_output_mode,Sets default method for presenting information. Both - View information on screen and write information to file. Screen - View information on screen only. File - Write information to file only. Choose - Select method from the INFO OUTPUT menu.,"both, choose, screen, file",both
Sheetmetal,initial_bend_y_factor,Specifies a constant used to determine the neutral bend line for a sheet metal part. This value is always used for non-cylindrical bends. It is used for regular bends only when no bend table is specified.,,0.5
User Interface,initial_drm_warning,"Warns the user that they are initiating a DRM session.  When set to ""no"", this warning dialog will be skipped.","yes, no",yes
File Storage & Retrieval,instance_search_exhaustive,"Specifies extent of instance search. Yes - Include file type when entering instance name in File>Open: type in  input panel (e.g. inst_name.prt) or select in drop-down list. If no .idx files are found, only working dir is  searched; each generic is not.","yes, no",no
Assembly,interface_criteria_mismatch,FAIL_PLACEMENT - Fail regeneration upon component interface criteria mismatch. WARNING_ONLY - A warning message is given during regeneration for the criteria mismatch only without failure. IGNORE - Interface criteria mismatch ignored during regeneration.,"ignore, warning_only, fail_placement",warning_only
Data Exchange,interface_quality,"Sets amount of checking for overlapping lines and collecting lines of same pen color before exporting plot or 2-D file. 0 - No check or collection. 1 - No check, but collection. 2 - Partial check and collection. 3 - Complete check and collection.",,3
Data Exchange,intf2d_fit_incompatible_data,"YES - For import and export, fixes compatibility problems between 2-D external formats (such as IGES and DXF) and Creo Parametric.","yes, no",no
Data Exchange,intf2d_iges_out_hatch,YES - Exports draft xhatching as IGES sectioned area entity. NO - exports draft xhatching as separate geometric entities.,"yes, no",no
Data Exchange,intf2d_in_acad_ignore_3d,"YES - Ignore the 3DSOLID entities, if they exist, in the DXF/DWG file being imported in Drawing mode. Only, the 2D entities are processed.  NO - Create an assembly by processing the 3DSOLID entities in the DWG/DXF file being imported in Drawing mode. This is the default value for this option.","yes, no",no
Data Exchange,intf2d_in_acad_wrap_tbl_texts,Wrap table texts imported from a DXF or DWG file when set to YES.,"yes, no",no
Data Exchange,intf2d_in_assoc_dim_geom,"Controls if imported associative dimensions remain associative. Yes - If the drawing setup option associative_dimensioning is Yes, then dimensions are imported associative. No - Dimensions do not retain associativity.","yes, no",no
Data Exchange,intf2d_in_bottom_margin,Sets the bottom margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_create_multiline_note,Create a single multi-line note on importing multi-line text when is set to YES.,"yes, no",yes
Data Exchange,intf2d_in_dim,AS_SEP_ENT - Imports each component of a dimension separately. AS_IS - Imports dimensions as dimensions in Pro/ENGINEER. AS_SYMBOL - Imports dimensions as symbols in Pro/ENGINEER.,"as_symbol, as_is, as_sep_ent",as_is
Data Exchange,intf2d_in_dxf_mapping_file,Specifies the mapping file for DXF and DWG import. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_in_iges_hatch_bnd_layer,Yes - Places all sectioned areas boundary imported from the IGES file in one layer named IGES_HATCH_BOUNDARY. NO - Does not place sectioned areas boundary in one layer.,"yes, no",no
Data Exchange,intf2d_in_iges_symbols,Controls whether to import IGES symbols as symbols or as entities by default. Yes - Import IGES symbols as symbols by default. No - Import IGES symbols as entities by default.,"yes, no",yes
Data Exchange,intf2d_in_left_margin,Sets the left margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_mi_mapping_file,Specifies the mapping file for MI import. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_in_open_log_window,Yes - Opens Import Log File in a separate window. No - The Log File does not appear in the window.,"yes, no",no
Data Exchange,intf2d_in_recompute_dim_value,Indicates whether to recompute associative dimensions upon import.,"yes, no",no
Data Exchange,intf2d_in_right_margin,Sets the right margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_std_clrs_as_user_def,Yes - standard colors are imported as user-defined colors. No - standard colors are mapped to Creo Parametric colors.,"yes, no",yes
Data Exchange,intf2d_in_top_margin,Sets the top margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_white_as_black,If set to yes entities having white color will be imported as black when the background color is white.,"yes, no",yes
Data Exchange,intf2d_out_acad_brk_tbl_w_bl_ln,"Yes - drawing tables having blanked lines are exported to DXF/DWG as separate entities, No - the tables are exported as DXF/DWG tables but the lines are not blanked.","yes, no",no
Data Exchange,intf2d_out_acad_mtext,Create a single MTEXT entity for multi-line text notes when is set to YES.,"yes, no",yes
Data Exchange,intf2d_out_acad_ole_as_image,Controls OLE export to DXF/DWG. Yes - exports OLE objects as DXF/DWG IMAGEs. No - exports OLE objects as separate entities.,"yes, no",yes
Data Exchange,intf2d_out_acad_text_align,As_is - Exports notes to DXF/DWG with their original alignment values. Fit - Exports notes with FIT alignment.,"as_is, fit",as_is
Data Exchange,intf2d_out_acad_unicode,Yes - Non-ASCII characters are written in UNICODE encoding.,"yes, no",no
Without category,intf2d_out_blanked_layers,"Enables export of blanked layer entities. If an entity is placed on a layer that is blanked and this option is set to YES, the entity will be exported.","yes, no",no
Data Exchange,intf2d_out_cgm_old_lfont_map,"Yes - Use the old line font mapping in CGM export: hidden lines to type 2, CTRLFONT to type 4, PHANTOMFONT to type 5. No - Use the new mapping: hidden lines to type 12, CTRLFONT to type 11, PHANTOMFONT to type 13.","yes, no",no
Data Exchange,intf2d_out_cgm_ver,Provides the ability to choose CGM metafile version when exporting from Creo Parametric drawing.,"1, 3",1
Data Exchange,intf2d_out_dxf_mapping_file,Specifies the mapping file for DXF and DWG export. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_out_enhanced_ents,Controls whether the enhanced entities (SPLINE and HATCHING) are converted to the corresponding DXF entities or represented as separate lines and polylines.,"none, spline_and_hatch, spline_only, hatch_only",spline_and_hatch
Data Exchange,intf2d_out_iges_layers_with_id,Yes - Exports interface IDs of layers as IGES levels.,"yes, no",no
Data Exchange,intf2d_out_image_format,"If set to ""png"" shaded views will be exported as a PNG image and the background will be transparent. If set to ""jpeg"" shaded views will be exported as a JPEG image and the background will be opaque.","jpeg, png",png
Data Exchange,intf2d_out_line_width,YES - Exports line width information to DXF. NO - all entities are exported with the default width.,"yes, no",yes
Data Exchange,intf2d_out_linemerge_ign_layers,If set to yes overlapping lines will be merged regardless of their layers when exporting or plotting a drawing. If set to no overlapping lines belonging to different layers will not be merged.,"yes, no",no
Data Exchange,intf2d_out_open_log_window,Yes - Opens Export Log File in special window. No - the Log File will not appear in the window.,"yes, no",no
Data Exchange,intf2d_out_pdf_unicode,Specifies note texts encoding in PDF export. YES - Texts are exported in Unicode encoding. No - Texts are exported in native encoding.,"yes, no",no
